term,metric,focused
all,brier_score,0.037993359
all,cross_entropy,0.097675229
all,ece,0.009051694
all,kl_divergence,0.097675229
all,expected_correctness,0.95352558
black,brier_score,0.018743743
black,cross_entropy,0.064828111
black,ece,0.006263394
black,kl_divergence,0.064828111
black,expected_correctness,0.975639861
gay,brier_score,0.03772114
gay,cross_entropy,0.16072717
gay,ece,0.018372497
gay,kl_divergence,0.16072717
gay,expected_correctness,0.980644383
indian,brier_score,0.032089817
indian,cross_entropy,0.087007594
indian,ece,0.003691241
indian,kl_divergence,0.087007594
indian,expected_correctness,0.964800059
orient,brier_score,0.135080123
orient,cross_entropy,0.26939438
orient,ece,0.02278559
orient,kl_divergence,0.26939438
orient,expected_correctness,0.872478674
queer,brier_score,0.067479798
queer,cross_entropy,0.144339107
queer,ece,0.003224288
queer,kl_divergence,0.144339107
queer,expected_correctness,0.928977179
