term,metric,detailed
all,brier_score,1.550088328
all,cross_entropy,23.11833891
all,ece,0.765898209
all,kl_divergence,23.10438293
all,expected_correctness,0.188821118
black,brier_score,1.421892622
black,cross_entropy,25.09743148
black,ece,0.709351264
black,kl_divergence,25.08823041
black,expected_correctness,0.271092333
gay,brier_score,1.557764753
gay,cross_entropy,28.91576805
gay,ece,0.758100922
gay,kl_divergence,28.90401979
gay,expected_correctness,0.188804616
indian,brier_score,1.466475026
indian,cross_entropy,20.49151401
indian,ece,0.734234044
indian,kl_divergence,20.47687004
indian,expected_correctness,0.237577711
orient,brier_score,1.683321006
orient,cross_entropy,20.59589537
orient,ece,0.819537962
orient,kl_divergence,20.57535766
orient,expected_correctness,0.077979563
queer,brier_score,1.654240648
queer,cross_entropy,26.21391986
queer,ece,0.81896831
queer,kl_divergence,26.19353317
queer,expected_correctness,0.121976334
