term,metric,detailed
all,brier_score,0.0382715
all,cross_entropy,0.10520345
all,ece,0.005016489
all,kl_divergence,0.10520345
all,expected_correctness,0.966953983
black,brier_score,0.018347979
black,cross_entropy,0.060947189
black,ece,0.001588147
black,kl_divergence,0.060947189
black,expected_correctness,0.980308332
gay,brier_score,0.037489671
gay,cross_entropy,0.109663948
gay,ece,0.015259945
gay,kl_divergence,0.109663948
gay,expected_correctness,0.977660297
indian,brier_score,0.031586452
indian,cross_entropy,0.081924572
indian,ece,0.001832953
indian,kl_divergence,0.081924572
indian,expected_correctness,0.966746248
orient,brier_score,0.144281017
orient,cross_entropy,0.333739492
orient,ece,0.047329183
orient,kl_divergence,0.333739492
orient,expected_correctness,0.873352068
queer,brier_score,0.070737618
queer,cross_entropy,0.169455148
queer,ece,0.001632058
queer,kl_divergence,0.169455148
queer,expected_correctness,0.931809334
