term,metric,focused
all,brier_score,0.288812818
all,cross_entropy,0.620042851
all,ece,0.014397476
all,kl_divergence,0.606086868
all,expected_correctness,0.720124615
black,brier_score,0.285757637
black,cross_entropy,0.631666963
black,ece,0.419447934
black,kl_divergence,0.622465895
black,expected_correctness,0.543252206
gay,brier_score,0.313767851
gay,cross_entropy,0.686343164
gay,ece,0.304396265
gay,kl_divergence,0.674594907
gay,expected_correctness,0.543227461
indian,brier_score,0.36727179
indian,cross_entropy,0.743747646
indian,ece,0.216661225
indian,kl_divergence,0.729103692
indian,expected_correctness,0.526102071
orient,brier_score,0.770170246
orient,cross_entropy,1.388372466
orient,ece,0.190236281
orient,kl_divergence,1.367834772
orient,expected_correctness,0.26443823
queer,brier_score,0.658195277
queer,cross_entropy,1.281794538
queer,ece,0.193821258
queer,kl_divergence,1.261407856
queer,expected_correctness,0.345859019
