term,metric,focused
all,brier_score,0.392914704
all,cross_entropy,0.58484767
all,ece,0.280070707
all,kl_divergence,0.58484767
all,expected_correctness,0.561227988
black,brier_score,0.120008756
black,cross_entropy,0.271498415
black,ece,0.182301731
black,kl_divergence,0.271498415
black,expected_correctness,0.774643029
gay,brier_score,0.196822163
gay,cross_entropy,0.349042285
gay,ece,0.155361853
gay,kl_divergence,0.349042285
gay,expected_correctness,0.734643776
indian,brier_score,0.321768135
indian,cross_entropy,0.50823451
indian,ece,0.146286682
indian,kl_divergence,0.50823451
indian,expected_correctness,0.647728632
orient,brier_score,0.485480319
orient,cross_entropy,0.678153322
orient,ece,0.063452094
orient,kl_divergence,0.678153322
orient,expected_correctness,0.511802754
queer,brier_score,0.417073316
queer,cross_entropy,0.609169583
queer,ece,0.211832804
queer,kl_divergence,0.609169583
queer,expected_correctness,0.548087915
