term,metric,detailed
all,brier_score,0.310164338
all,cross_entropy,0.681045014
all,ece,0.133770591
all,kl_divergence,0.667089031
all,expected_correctness,0.604031521
black,brier_score,0.147533426
black,cross_entropy,0.411033466
black,ece,0.265608082
black,kl_divergence,0.401832397
black,expected_correctness,0.687697634
gay,brier_score,0.250887678
gay,cross_entropy,0.582558448
gay,ece,0.203087115
gay,kl_divergence,0.570810189
gay,expected_correctness,0.628174886
indian,brier_score,0.277759673
indian,cross_entropy,0.629360755
indian,ece,0.177537614
indian,kl_divergence,0.6147168
indian,expected_correctness,0.613469519
orient,brier_score,0.608291399
orient,cross_entropy,1.140302757
orient,ece,0.036569287
orient,kl_divergence,1.119765063
orient,expected_correctness,0.368209868
queer,brier_score,0.39162295
queer,cross_entropy,0.811490444
queer,ece,0.216758784
queer,kl_divergence,0.791103762
queer,expected_correctness,0.50979257
