term,metric,focused
all,brier_score,0.891520312
all,cross_entropy,2.782613805
all,ece,0.084460803
all,kl_divergence,2.754239359
all,expected_correctness,0.085885797
black,brier_score,0.311978987
black,cross_entropy,1.00952202
black,ece,0.217347494
black,kl_divergence,1.006669562
black,expected_correctness,0.664781479
gay,brier_score,0.797002114
gay,cross_entropy,2.158546107
gay,ece,0.314286043
gay,kl_divergence,2.099133493
gay,expected_correctness,0.127905816
indian,brier_score,0.70264791
indian,cross_entropy,1.637179253
indian,ece,0.250155618
indian,kl_divergence,1.611093069
indian,expected_correctness,0.22325796
orient,brier_score,0.839624298
orient,cross_entropy,2.24000949
orient,ece,0.012688362
orient,kl_divergence,2.195766056
orient,expected_correctness,0.112728273
queer,brier_score,0.73169422
queer,cross_entropy,1.815621575
queer,ece,0.144245436
queer,kl_divergence,1.736854847
queer,expected_correctness,0.239996285
