term,metric,focused
all,brier_score,0.740423645
all,cross_entropy,1.387275834
all,ece,0.078369159
all,kl_divergence,1.37331985
all,expected_correctness,0.249755366
black,brier_score,0.073283347
black,cross_entropy,0.25681755
black,ece,0.032981184
black,kl_divergence,0.247616481
black,expected_correctness,0.910200854
gay,brier_score,0.363818784
gay,cross_entropy,1.017588607
gay,ece,0.187510303
gay,kl_divergence,1.00584035
gay,expected_correctness,0.659456811
indian,brier_score,0.383721271
indian,cross_entropy,1.136996541
indian,ece,0.162339056
indian,kl_divergence,1.122352586
indian,expected_correctness,0.679677504
orient,brier_score,0.735644206
orient,cross_entropy,1.387211675
orient,ece,0.169106542
orient,kl_divergence,1.366673979
orient,expected_correctness,0.249770846
queer,brier_score,0.599932033
queer,cross_entropy,1.23771442
queer,ece,0.272033622
queer,kl_divergence,1.217327739
queer,expected_correctness,0.405052982
