term,metric,detailed
all,brier_score,0.310086899
all,cross_entropy,0.712455615
all,ece,0.075346636
all,kl_divergence,0.698499632
all,expected_correctness,0.721738926
black,brier_score,0.05494888
black,cross_entropy,0.187234884
black,ece,0.024396707
black,kl_divergence,0.178033814
black,expected_correctness,0.937047903
gay,brier_score,0.214160147
gay,cross_entropy,0.495280123
gay,ece,0.118864369
gay,kl_divergence,0.483531866
gay,expected_correctness,0.782599969
indian,brier_score,0.263261602
indian,cross_entropy,0.614084184
indian,ece,0.141399148
indian,kl_divergence,0.599440229
indian,expected_correctness,0.755829538
orient,brier_score,0.658772621
orient,cross_entropy,1.211740483
orient,ece,0.101520638
orient,kl_divergence,1.191202789
orient,expected_correctness,0.367165495
queer,brier_score,0.481337838
queer,cross_entropy,0.951225147
queer,ece,0.246479129
queer,kl_divergence,0.930838465
queer,expected_correctness,0.545723654
