term,metric,focused
all,brier_score,0.747839157
all,cross_entropy,1.657568152
all,ece,0.187856757
all,kl_divergence,1.631411655
all,expected_correctness,0.225525246
black,brier_score,0.552790771
black,cross_entropy,1.122614736
black,ece,0.332646505
black,kl_divergence,1.113054086
black,expected_correctness,0.409979159
gay,brier_score,0.762445223
gay,cross_entropy,1.74483625
gay,ece,0.170272118
gay,kl_divergence,1.709740191
gay,expected_correctness,0.215637149
indian,brier_score,0.794089549
indian,cross_entropy,1.778092929
indian,ece,0.107990118
indian,kl_divergence,1.744607558
indian,expected_correctness,0.178705371
orient,brier_score,0.777869144
orient,cross_entropy,1.801242435
orient,ece,0.065320195
orient,kl_divergence,1.746996136
orient,expected_correctness,0.175021885
queer,brier_score,0.831170287
queer,cross_entropy,1.914995589
queer,ece,0.080363231
queer,kl_divergence,1.901404467
queer,expected_correctness,0.162134976
