term,metric,focused
all,brier_score,0.300665147
all,cross_entropy,0.494943773
all,ece,0.068016521
all,kl_divergence,0.494943773
all,expected_correctness,0.729716412
black,brier_score,0.061827275
black,cross_entropy,0.160136901
black,ece,0.021493446
black,kl_divergence,0.160136901
black,expected_correctness,0.940957998
gay,brier_score,0.1971974
gay,cross_entropy,0.355238173
gay,ece,0.026321663
gay,kl_divergence,0.355238173
gay,expected_correctness,0.825707907
indian,brier_score,0.242987668
indian,cross_entropy,0.405965044
indian,ece,0.03712075
indian,kl_divergence,0.405965044
indian,expected_correctness,0.772611591
orient,brier_score,0.433166034
orient,cross_entropy,0.606723984
orient,ece,0.109075394
orient,kl_divergence,0.606723984
orient,expected_correctness,0.573885202
queer,brier_score,0.308253905
queer,cross_entropy,0.483506285
queer,ece,0.070515526
queer,kl_divergence,0.483506285
queer,expected_correctness,0.694904314
