term,metric,focused
all,brier_score,0.829544917
all,cross_entropy,2.491233231
all,ece,0.149203639
all,kl_divergence,2.462858784
all,expected_correctness,0.216235214
black,brier_score,0.26487652
black,cross_entropy,0.805965068
black,ece,0.105937079
black,kl_divergence,0.803112611
black,expected_correctness,0.786350341
gay,brier_score,0.672236763
gay,cross_entropy,1.868756843
gay,ece,0.166467081
gay,kl_divergence,1.809344227
gay,expected_correctness,0.330783784
indian,brier_score,0.754053819
indian,cross_entropy,1.598023558
indian,ece,0.179382034
indian,kl_divergence,1.571937373
indian,expected_correctness,0.266152539
orient,brier_score,0.84048327
orient,cross_entropy,2.171721481
orient,ece,0.114088492
orient,kl_divergence,2.127478042
orient,expected_correctness,0.139053977
queer,brier_score,0.708974442
queer,cross_entropy,1.656264298
queer,ece,0.201551343
queer,kl_divergence,1.577497572
queer,expected_correctness,0.313850334
