term,metric,focused
all,brier_score,0.039303489
all,cross_entropy,0.101336551
all,ece,0.009430583
all,kl_divergence,0.101336551
all,expected_correctness,0.953178596
black,brier_score,0.02327081
black,cross_entropy,0.079653828
black,ece,0.028543029
black,kl_divergence,0.079653828
black,expected_correctness,0.953495302
gay,brier_score,0.044722042
gay,cross_entropy,0.0968723
gay,ece,0.022613866
gay,kl_divergence,0.0968723
gay,expected_correctness,0.947491487
indian,brier_score,0.034363309
indian,cross_entropy,0.098979046
indian,ece,0.020115734
indian,kl_divergence,0.098979046
indian,expected_correctness,0.948681694
orient,brier_score,0.127511232
orient,cross_entropy,0.250659146
orient,ece,0.021672773
orient,kl_divergence,0.250659146
orient,expected_correctness,0.860738933
queer,brier_score,0.082623933
queer,cross_entropy,0.17647121
queer,ece,0.048759552
queer,kl_divergence,0.17647121
queer,expected_correctness,0.930833464
