term,metric,focused
all,brier_score,0.007994913
all,cross_entropy,0.653279901
all,ece,0.078808218
all,kl_divergence,0.016765654
all,expected_correctness,0.526579142
black,brier_score,0.002353618
black,cross_entropy,0.641571581
black,ece,0.044966307
black,kl_divergence,0.005057335
black,expected_correctness,0.540036798
gay,brier_score,0.113408469
gay,cross_entropy,0.875462055
gay,ece,0.332025588
gay,kl_divergence,0.238947809
gay,expected_correctness,0.444944918
indian,brier_score,0.048433658
indian,cross_entropy,0.735123396
indian,ece,0.213090137
indian,kl_divergence,0.098609209
indian,expected_correctness,0.483751506
orient,brier_score,0.100393936
orient,cross_entropy,0.84692502
orient,ece,0.30200845
orient,kl_divergence,0.210410774
orient,expected_correctness,0.454222798
queer,brier_score,0.229924381
queer,cross_entropy,1.247303963
queer,ece,0.466787726
queer,kl_divergence,0.610789776
queer,expected_correctness,0.401389301
