term,metric,focused
all,brier_score,0.058404796
all,cross_entropy,0.75631398
all,ece,0.228695214
all,kl_divergence,0.119799733
all,expected_correctness,0.478259623
black,brier_score,0.025204297
black,cross_entropy,0.688185453
black,ece,0.135820121
black,kl_divergence,0.051671207
black,expected_correctness,0.510885656
gay,brier_score,0.020542469
gay,cross_entropy,0.67856282
gay,ece,0.129846618
gay,kl_divergence,0.042048573
gay,expected_correctness,0.510866642
indian,brier_score,0.018626885
indian,cross_entropy,0.674814403
indian,ece,0.106509574
indian,kl_divergence,0.038300216
indian,expected_correctness,0.520561218
orient,brier_score,0.048705976
orient,cross_entropy,0.735788584
orient,ece,0.196974128
orient,kl_divergence,0.099274337
orient,expected_correctness,0.484533221
queer,brier_score,0.026932616
queer,cross_entropy,0.691458583
queer,ece,0.153777927
queer,kl_divergence,0.054944396
queer,expected_correctness,0.501992464
