term,head,hard_hit,confidence_top1,kl_divergence
all,https://w3id.org/caapt/annotations/va-anno#104052095_text,1,0.8559499382972717,0.1555434018373489
all,https://w3id.org/caapt/annotations/va-anno#104051083_text,1,0.8616079092025757,0.1489550471305847
all,https://w3id.org/caapt/annotations/va-anno#104054069_text,1,0.8497061729431152,0.1628647446632385
all,https://w3id.org/caapt/annotations/va-anno#104055366_text,1,0.8443321585655212,0.1692093163728714
all,https://w3id.org/caapt/annotations/va-anno#104051607_text,1,0.8412736654281616,0.1728382855653762
all,https://w3id.org/caapt/annotations/va-anno#104056393_text,1,0.8609704375267029,0.1496951133012771
all,https://w3id.org/caapt/annotations/va-anno#104051705_text,1,0.8477731347084045,0.1651422530412674
all,https://w3id.org/caapt/annotations/va-anno#104052923_text,1,0.8514813184738159,0.1607777625322342
all,https://w3id.org/caapt/annotations/va-anno#104052006_text,0,0.8553401827812195,1.93337070941925
all,https://w3id.org/caapt/annotations/va-anno#104054477_text,1,0.8527553081512451,0.1592825949192047
all,https://w3id.org/caapt/annotations/va-anno#104054837_text,1,0.8425841927528381,0.1712817102670669
all,https://w3id.org/caapt/annotations/va-anno#104053924_text,1,0.8542851805686951,0.1574902087450027
all,https://w3id.org/caapt/annotations/va-anno#104056823_text,1,0.8650298714637756,0.1449912637472152
all,https://w3id.org/caapt/annotations/va-anno#104051953_text,1,0.8601533770561218,0.1506445556879043
all,https://w3id.org/caapt/annotations/va-anno#104051913_text,1,0.8149664402008057,0.2046083062887191
all,https://w3id.org/caapt/annotations/va-anno#104054219_text,1,0.8418542742729187,0.1721483618021011
all,https://w3id.org/caapt/annotations/va-anno#104051636_text,1,0.8545903563499451,0.1571329981088638
all,https://w3id.org/caapt/annotations/va-anno#104051198_text,0,0.8686718940734863,2.030056715011597
all,https://w3id.org/caapt/annotations/va-anno#104053608_text,1,0.8423503637313843,0.1715591996908188
all,https://w3id.org/caapt/annotations/va-anno#104051702_text,1,0.858656108379364,0.152386799454689
all,https://w3id.org/caapt/annotations/va-anno#104056267_text,1,0.8635185956954956,0.1467398703098297
