term,metric,detailed
all,brier_score,1.585613218
all,cross_entropy,19.56798659
all,ece,0.777650888
all,kl_divergence,19.54183011
all,expected_correctness,0.14061134
black,brier_score,1.211916574
black,cross_entropy,13.89303647
black,ece,0.584782104
black,kl_divergence,13.88347583
black,expected_correctness,0.350638517
gay,brier_score,1.5262918
gay,cross_entropy,19.08743826
gay,ece,0.770428441
gay,kl_divergence,19.05234218
gay,expected_correctness,0.170852343
indian,brier_score,1.660015806
indian,cross_entropy,22.47239658
indian,ece,0.807640553
indian,kl_divergence,22.43891124
indian,expected_correctness,0.092227507
orient,brier_score,1.616903528
orient,cross_entropy,22.01239468
orient,ece,0.790026636
orient,kl_divergence,21.95814842
orient,expected_correctness,0.110790228
queer,brier_score,1.666633631
queer,cross_entropy,21.54949175
queer,ece,0.809080143
queer,kl_divergence,21.53590062
queer,expected_correctness,0.068149309
