term,metric,detailed
all,brier_score,0.740241283
all,cross_entropy,1.386912146
all,ece,0.126782618
all,kl_divergence,1.372956162
all,expected_correctness,0.249847105
black,brier_score,0.052440319
black,cross_entropy,0.184767833
black,ece,0.014314033
black,kl_divergence,0.175566764
black,expected_correctness,0.948651841
gay,brier_score,0.302632215
gay,cross_entropy,0.704540771
gay,ece,0.124479793
gay,kl_divergence,0.692792515
gay,expected_correctness,0.712581901
indian,brier_score,0.360272897
indian,cross_entropy,0.911480714
indian,ece,0.157512098
indian,kl_divergence,0.896836759
indian,expected_correctness,0.678189321
orient,brier_score,0.735535522
orient,cross_entropy,1.386994357
orient,ece,0.065403768
orient,kl_divergence,1.366456664
orient,expected_correctness,0.249825177
queer,brier_score,0.475649475
queer,cross_entropy,0.955251415
queer,ece,0.178579202
queer,kl_divergence,0.934864733
queer,expected_correctness,0.521509774
