term,metric,detailed
all,brier_score,0.039197571
all,cross_entropy,0.104292675
all,ece,0.012119957
all,kl_divergence,0.104292675
all,expected_correctness,0.950377984
black,brier_score,0.02137773
black,cross_entropy,0.06260934
black,ece,0.014666583
black,kl_divergence,0.06260934
black,expected_correctness,0.968651858
gay,brier_score,0.0375663
gay,cross_entropy,0.116154296
gay,ece,0.016552627
gay,kl_divergence,0.116154296
gay,expected_correctness,0.978907035
indian,brier_score,0.030730978
indian,cross_entropy,0.087641191
indian,ece,0.023211442
indian,kl_divergence,0.087641191
indian,expected_correctness,0.955556179
orient,brier_score,0.13991123
orient,cross_entropy,0.275301101
orient,ece,0.040962583
orient,kl_divergence,0.275301101
orient,expected_correctness,0.831888688
queer,brier_score,0.079067363
queer,cross_entropy,0.187983824
queer,ece,0.02481921
queer,kl_divergence,0.187983824
queer,expected_correctness,0.915668755
