term,metric,detailed
all,brier_score,0.529202593
all,cross_entropy,6.422718038
all,ece,0.264212917
all,kl_divergence,6.422718038
all,expected_correctness,0.726578597
black,brier_score,0.248537219
black,cross_entropy,2.336526694
black,ece,0.127412054
black,kl_divergence,2.336526694
black,expected_correctness,0.872127379
gay,brier_score,0.599432381
gay,cross_entropy,7.48210122
gay,ece,0.307024883
gay,kl_divergence,7.48210122
gay,expected_correctness,0.692039393
indian,brier_score,0.466617947
indian,cross_entropy,7.936361793
indian,ece,0.235237118
indian,kl_divergence,7.936361793
indian,expected_correctness,0.758574419
orient,brier_score,0.731276107
orient,cross_entropy,7.898857659
orient,ece,0.379352119
orient,kl_divergence,7.898857659
orient,expected_correctness,0.616759316
queer,brier_score,0.764064853
queer,cross_entropy,7.860615865
queer,ece,0.385361169
queer,kl_divergence,7.860615865
queer,expected_correctness,0.611473381
