term,head,hard_hit,confidence_top1,kl_divergence
all,https://w3id.org/caapt/annotations/va-anno#104051777_text,0,0.3864484429359436,2.062804222106934
all,https://w3id.org/caapt/annotations/va-anno#104051111_text,0,0.2262878119945526,3.627970218658447
all,https://w3id.org/caapt/annotations/va-anno#104052489_text,0,0.40515998005867,2.101369142532349
all,https://w3id.org/caapt/annotations/va-anno#104056974_text,1,0.4286302626132965,0.8471605777740479
all,https://w3id.org/caapt/annotations/va-anno#104054331_text,1,0.3359732925891876,1.090723633766174
all,https://w3id.org/caapt/annotations/va-anno#104051123_text,0,0.3823868930339813,2.484008073806763
all,https://w3id.org/caapt/annotations/va-anno#104055431_text,1,0.401449054479599,1.877930998802185
all,https://w3id.org/caapt/annotations/va-anno#104052333_text,0,0.3938118517398834,2.189267635345459
all,https://w3id.org/caapt/annotations/va-anno#104052178_text,0,0.3796155154705047,2.084757089614868
all,https://w3id.org/caapt/annotations/va-anno#104050974_text,0,0.2418195158243179,3.31342077255249
all,https://w3id.org/caapt/annotations/va-anno#104051403_text,0,0.425143152475357,2.261327743530273
all,https://w3id.org/caapt/annotations/va-anno#104052406_text,0,0.4154296517372131,2.213637828826904
all,https://w3id.org/caapt/annotations/va-anno#104051701_text,0,0.4085809290409088,2.784020185470581
all,https://w3id.org/caapt/annotations/va-anno#104055009_text,1,0.376260757446289,0.9774729013442992
all,https://w3id.org/caapt/annotations/va-anno#104050845_text,0,0.206067681312561,2.685362339019775
all,https://w3id.org/caapt/annotations/va-anno#104050857_text,0,0.4008046090602875,3.182438850402832
all,https://w3id.org/caapt/annotations/va-anno#104052186_text,0,0.385440468788147,5.155067920684815
all,https://w3id.org/caapt/annotations/va-anno#104050488_text,0,0.386507511138916,5.982812881469727
all,https://w3id.org/caapt/annotations/va-anno#104050851_text,0,0.2417576313018798,2.757274389266968
all,https://w3id.org/caapt/annotations/va-anno#104053349_text,0,0.3563423454761505,2.463718414306641
all,https://w3id.org/caapt/annotations/va-anno#104053360_text,0,0.2153685688972473,2.945658683776855
all,https://w3id.org/caapt/annotations/va-anno#104051680_text,0,0.3763273060321808,2.053071975708008
all,https://w3id.org/caapt/annotations/va-anno#104051915_text,0,0.3830834329128265,2.183519840240479
all,https://w3id.org/caapt/annotations/va-anno#104053215_text,0,0.3944549262523651,2.477945566177368
