term,head,hard_hit,confidence_top1,kl_divergence
all,https://w3id.org/caapt/annotations/va-anno#104053825_text,1,1.0,3.466487860648293e-11
all,https://w3id.org/caapt/annotations/va-anno#104052095_text,1,1.0,2.515254844681625e-11
all,https://w3id.org/caapt/annotations/va-anno#104051929_text,1,1.0,2.131396968640953e-11
all,https://w3id.org/caapt/annotations/va-anno#104051083_text,0,1.0,24.54017639160156
all,https://w3id.org/caapt/annotations/va-anno#104051828_text,1,1.0,1.424017154194601e-11
all,https://w3id.org/caapt/annotations/va-anno#104055385_text,1,1.0,6.467672317850282e-12
all,https://w3id.org/caapt/annotations/va-anno#104056879_text,1,1.0,1.386424048482882e-11
all,https://w3id.org/caapt/annotations/va-anno#104054069_text,1,1.0,-4.477596136746864e-13
all,https://w3id.org/caapt/annotations/va-anno#104055366_text,1,1.0,1.176338020048018e-11
all,https://w3id.org/caapt/annotations/va-anno#104051566_text,1,0.9997313618659972,0.0002686616207938
all,https://w3id.org/caapt/annotations/va-anno#104051607_text,1,1.0,3.420065272652373e-11
all,https://w3id.org/caapt/annotations/va-anno#104056393_text,1,1.0,4.267523140422114e-11
all,https://w3id.org/caapt/annotations/va-anno#104051296_text,0,0.9999992847442628,14.15087985992432
all,https://w3id.org/caapt/annotations/va-anno#104051705_text,1,1.0,-4.993505609007798e-12
all,https://w3id.org/caapt/annotations/va-anno#104052923_text,1,1.0,-5.729625541378569e-12
all,https://w3id.org/caapt/annotations/va-anno#104052006_text,1,1.0,2.312856156594378e-11
all,https://w3id.org/caapt/annotations/va-anno#104050511_text,1,1.0,4.204245632188908e-11
all,https://w3id.org/caapt/annotations/va-anno#104051546_text,0,0.9999979734420776,13.11394119262695
all,https://w3id.org/caapt/annotations/va-anno#104054477_text,1,1.0,-3.014531983411284e-12
all,https://w3id.org/caapt/annotations/va-anno#104054837_text,1,1.0,-1.414270393504391e-12
all,https://w3id.org/caapt/annotations/va-anno#104051633_text,1,1.0,9.847818741026693e-12
all,https://w3id.org/caapt/annotations/va-anno#104050671_text,1,0.9951189756393432,0.0048929951153695
all,https://w3id.org/caapt/annotations/va-anno#104053924_text,1,1.0,-6.38471588966516e-13
all,https://w3id.org/caapt/annotations/va-anno#104056360_text,1,0.9999998807907104,1.191974234870941e-07
all,https://w3id.org/caapt/annotations/va-anno#104056823_text,1,1.0,4.30928556727217e-11
all,https://w3id.org/caapt/annotations/va-anno#104056784_text,1,1.0,2.431911269584752e-11
all,https://w3id.org/caapt/annotations/va-anno#104051953_text,1,0.9999998807907104,1.191974803305129e-07
