term,metric,detailed
all,brier_score,0.000396671
all,cross_entropy,0.637357533
all,ece,0.007070542
all,kl_divergence,0.000843287
all,expected_correctness,0.552767992
black,brier_score,0.167081669
black,cross_entropy,1.004877806
black,ece,0.407762915
black,kl_divergence,0.368363559
black,expected_correctness,0.419682354
gay,brier_score,0.425598145
gay,cross_entropy,2.934453249
gay,ece,0.652181804
gay,kl_divergence,2.297939003
gay,expected_correctness,0.338573426
indian,brier_score,0.046347514
indian,cross_entropy,0.795747042
indian,ece,0.214999974
indian,kl_divergence,0.159232855
indian,expected_correctness,0.626925945
orient,brier_score,0.032558504
orient,cross_entropy,0.702734172
orient,ece,0.17594333
orient,kl_divergence,0.066219926
orient,expected_correctness,0.495827407
queer,brier_score,0.119091608
queer,cross_entropy,0.890669227
queer,ece,0.339343011
queer,kl_divergence,0.25415504
queer,expected_correctness,0.442542017
