term,metric,focused
all,brier_score,0.216246997
all,cross_entropy,2.454150625
all,ece,0.108350623
all,kl_divergence,2.454150625
all,expected_correctness,0.888294121
black,brier_score,0.096353162
black,cross_entropy,1.560478384
black,ece,0.050982315
black,kl_divergence,1.560478384
black,expected_correctness,0.948194644
gay,brier_score,0.37583759
gay,cross_entropy,3.205142391
gay,ece,0.190790599
gay,kl_divergence,3.205142391
gay,expected_correctness,0.807836939
indian,brier_score,0.223142342
indian,cross_entropy,2.824063013
indian,ece,0.110098552
indian,kl_divergence,2.824063013
indian,expected_correctness,0.886609768
orient,brier_score,0.246056329
orient,cross_entropy,3.775637381
orient,ece,0.126460524
orient,kl_divergence,3.775637381
orient,expected_correctness,0.869338561
queer,brier_score,0.419945561
queer,cross_entropy,3.781534194
queer,ece,0.212015535
queer,kl_divergence,3.781534194
queer,expected_correctness,0.787868132
