term,metric,focused
all,brier_score,0.919062993
all,cross_entropy,3.182563524
all,ece,0.079080572
all,kl_divergence,3.154189078
all,expected_correctness,0.047753064
black,brier_score,0.618289673
black,cross_entropy,1.501438181
black,ece,0.570901171
black,kl_divergence,1.498585723
black,expected_correctness,0.251720397
gay,brier_score,0.861723466
gay,cross_entropy,2.489571227
gay,ece,0.05383997
gay,kl_divergence,2.43015861
gay,expected_correctness,0.099609408
indian,brier_score,0.746740453
indian,cross_entropy,1.780891924
indian,ece,0.040547215
indian,kl_divergence,1.75480574
indian,expected_correctness,0.211270561
orient,brier_score,0.874734686
orient,cross_entropy,2.374279697
orient,ece,0.123916749
orient,kl_divergence,2.330036261
orient,expected_correctness,0.101072751
queer,brier_score,0.795580128
queer,cross_entropy,2.154347403
queer,ece,0.166340601
queer,kl_divergence,2.075580681
queer,expected_correctness,0.132226874
