term,metric,detailed
all,brier_score,0.128423889
all,cross_entropy,1.681042703
all,ece,0.066013786
all,kl_divergence,1.681042703
all,expected_correctness,0.933855542
black,brier_score,0.137601879
black,cross_entropy,1.656590694
black,ece,0.070100304
black,kl_divergence,1.656590694
black,expected_correctness,0.928210834
gay,brier_score,0.067797004
gay,cross_entropy,0.788051068
gay,ece,0.034641756
gay,kl_divergence,0.788051068
gay,expected_correctness,0.963273081
indian,brier_score,0.107550423
indian,cross_entropy,1.657209745
indian,ece,0.055976335
indian,kl_divergence,1.657209745
indian,expected_correctness,0.944016617
orient,brier_score,0.58343908
orient,cross_entropy,6.126994902
orient,ece,0.303133881
orient,kl_divergence,6.126994902
orient,expected_correctness,0.696825799
queer,brier_score,0.285714036
queer,cross_entropy,3.90102551
queer,ece,0.142843857
queer,kl_divergence,3.90102551
queer,expected_correctness,0.857129701
