term,metric,detailed
all,brier_score,0.305389932
all,cross_entropy,0.495353877
all,ece,0.076799609
all,kl_divergence,0.495353877
all,expected_correctness,0.712523022
black,brier_score,0.058647777
black,cross_entropy,0.147239526
black,ece,0.01426298
black,kl_divergence,0.147239526
black,expected_correctness,0.938915677
gay,brier_score,0.199007626
gay,cross_entropy,0.349386228
gay,ece,0.008532865
gay,kl_divergence,0.349386228
gay,expected_correctness,0.801333947
indian,brier_score,0.254957409
indian,cross_entropy,0.426136602
indian,ece,0.065500599
indian,kl_divergence,0.426136602
indian,expected_correctness,0.760318175
orient,brier_score,0.45547179
orient,cross_entropy,0.647461298
orient,ece,0.010314364
orient,kl_divergence,0.647461298
orient,expected_correctness,0.540423285
queer,brier_score,0.334568573
queer,cross_entropy,0.516998592
queer,ece,0.05818664
queer,kl_divergence,0.516998592
queer,expected_correctness,0.674022268
