term,metric,detailed
all,brier_score,0.111932516
all,cross_entropy,3.23903966
all,ece,0.334129781
all,kl_divergence,2.602525413
all,expected_correctness,0.665769994
black,brier_score,0.111380965
black,cross_entropy,3.380557537
black,ece,0.333586246
black,kl_divergence,2.744043291
black,expected_correctness,0.666346014
gay,brier_score,0.111733675
gay,cross_entropy,3.671341419
gay,ece,0.333949208
gay,kl_divergence,3.034827173
gay,expected_correctness,0.666023791
indian,brier_score,0.111143611
indian,cross_entropy,2.70367837
indian,ece,0.333246827
indian,kl_divergence,2.067164183
indian,expected_correctness,0.666277111
orient,brier_score,0.114621565
orient,cross_entropy,3.313179493
orient,ece,0.336822152
orient,kl_divergence,2.676665246
orient,expected_correctness,0.663089454
queer,brier_score,0.112286419
queer,cross_entropy,3.237661362
queer,ece,0.334481359
queer,kl_divergence,2.601147175
queer,expected_correctness,0.665409386
