term,head,hard_hit,confidence_top1,kl_divergence
all,https://w3id.org/caapt/annotations/va-anno#104052292_text,0,0.8677036762237549,3.15176248550415
all,https://w3id.org/caapt/annotations/va-anno#104051635_text,1,0.8487412333488464,0.1640009135007858
all,https://w3id.org/caapt/annotations/va-anno#104054412_text,1,0.817730188369751,0.2012228816747665
all,https://w3id.org/caapt/annotations/va-anno#104050726_text,1,0.5098721385002136,0.6735953688621521
all,https://w3id.org/caapt/annotations/va-anno#104052665_text,1,0.8298359513282776,0.186527281999588
all,https://w3id.org/caapt/annotations/va-anno#104050365_text,1,0.8196470141410828,0.1988815665245056
all,https://w3id.org/caapt/annotations/va-anno#104055940_text,1,0.8259450197219849,0.1912270933389663
all,https://w3id.org/caapt/annotations/va-anno#104050387_text,1,0.5228897333145142,0.648384690284729
all,https://w3id.org/caapt/annotations/va-anno#104055489_text,1,0.8329831957817078,0.1827418208122253
all,https://w3id.org/caapt/annotations/va-anno#104053140_text,1,0.8300449848175049,0.1862753927707672
all,https://w3id.org/caapt/annotations/va-anno#104050533_text,0,0.8685520887374878,3.158171415328979
all,https://w3id.org/caapt/annotations/va-anno#104051341_text,1,0.8401981592178345,0.1741175353527069
all,https://w3id.org/caapt/annotations/va-anno#104050581_text,1,0.8043783903121948,0.2176854908466339
all,https://w3id.org/caapt/annotations/va-anno#104050579_text,1,0.8444290161132812,0.1690945625305175
all,https://w3id.org/caapt/annotations/va-anno#104053767_text,1,0.8189692497253418,0.1997087299823761
all,https://w3id.org/caapt/annotations/va-anno#104056372_text,1,0.8418697714805603,0.1721300035715103
all,https://w3id.org/caapt/annotations/va-anno#104056630_text,0,0.6347948908805847,2.304564476013184
all,https://w3id.org/caapt/annotations/va-anno#104053085_text,1,0.8341416120529175,0.860781192779541
all,https://w3id.org/caapt/annotations/va-anno#104052533_text,1,0.5582578182220459,0.460439920425415
all,https://w3id.org/caapt/annotations/va-anno#104052214_text,1,0.8357402086257935,0.179437443614006
all,https://w3id.org/caapt/annotations/va-anno#104050858_text,0,0.8684566020965576,3.157482862472534
all,https://w3id.org/caapt/annotations/va-anno#104051028_text,1,0.808497428894043,0.2125777751207351
all,https://w3id.org/caapt/annotations/va-anno#104051423_text,0,0.8380411267280579,2.730164051055908
all,https://w3id.org/caapt/annotations/va-anno#104051010_text,1,0.8193818926811218,0.1992050260305404
all,https://w3id.org/caapt/annotations/va-anno#104051453_text,1,0.8223596215248108,0.1955775320529937
