term,metric,detailed
all,brier_score,0.015873035
all,cross_entropy,0.673138797
all,ece,0.090039179
all,kl_divergence,0.036624551
all,expected_correctness,0.546747506
black,brier_score,0.029625976
black,cross_entropy,0.697040915
black,ece,0.155571625
black,kl_divergence,0.060526669
black,expected_correctness,0.503353119
gay,brier_score,0.032292187
gay,cross_entropy,0.702195644
gay,ece,0.175159827
gay,kl_divergence,0.065681398
gay,expected_correctness,0.496082008
indian,brier_score,0.011260255
indian,cross_entropy,0.659762979
indian,ece,0.08438243
indian,kl_divergence,0.023248792
indian,expected_correctness,0.525938451
orient,brier_score,0.024869811
orient,cross_entropy,0.68731904
orient,ece,0.131469056
orient,kl_divergence,0.050804794
orient,expected_correctness,0.503818274
queer,brier_score,0.030723184
queer,cross_entropy,0.699056864
queer,ece,0.166640699
queer,kl_divergence,0.062542677
queer,expected_correctness,0.497785687
