term,metric,focused
all,brier_score,0.0457261
all,cross_entropy,0.133202897
all,ece,0.016384157
all,kl_divergence,0.133202897
all,expected_correctness,0.962441088
black,brier_score,0.013751748
black,cross_entropy,0.041889486
black,ece,0.009703498
black,kl_divergence,0.041889486
black,expected_correctness,0.981234886
gay,brier_score,0.037709003
gay,cross_entropy,0.133726316
gay,ece,0.016477664
gay,kl_divergence,0.133726316
gay,expected_correctness,0.978777588
indian,brier_score,0.032161837
indian,cross_entropy,0.092793753
indian,ece,0.003962304
indian,kl_divergence,0.092793753
indian,expected_correctness,0.967658799
orient,brier_score,0.163345299
orient,cross_entropy,0.337423703
orient,ece,0.111726168
orient,kl_divergence,0.337423703
orient,expected_correctness,0.839174043
queer,brier_score,0.079775273
queer,cross_entropy,0.177133275
queer,ece,0.040479432
queer,kl_divergence,0.177133275
queer,expected_correctness,0.933338068
