term,metric,focused
all,brier_score,0.037762925
all,cross_entropy,0.095578289
all,ece,0.004644608
all,kl_divergence,0.095578289
all,expected_correctness,0.966750355
black,brier_score,0.018107726
black,cross_entropy,0.055583538
black,ece,0.001762253
black,kl_divergence,0.055583538
black,expected_correctness,0.983673714
gay,brier_score,0.037458306
gay,cross_entropy,0.107477909
gay,ece,0.013875398
gay,kl_divergence,0.107477909
gay,expected_correctness,0.976304057
indian,brier_score,0.031312916
indian,cross_entropy,0.079510034
indian,ece,0.001622138
indian,kl_divergence,0.079510034
indian,expected_correctness,0.967039603
orient,brier_score,0.134126319
orient,cross_entropy,0.264810103
orient,ece,0.008948435
orient,kl_divergence,0.264810103
orient,expected_correctness,0.874399668
queer,brier_score,0.069144353
queer,cross_entropy,0.155870921
queer,ece,0.002375941
queer,kl_divergence,0.155870921
queer,expected_correctness,0.933221628
