term,metric,focused
all,brier_score,0.302016699
all,cross_entropy,0.667888902
all,ece,0.027185965
all,kl_divergence,0.653932919
all,expected_correctness,0.682448291
black,brier_score,0.053752
black,cross_entropy,0.17782334
black,ece,0.038891728
black,kl_divergence,0.168622271
black,expected_correctness,0.920252361
gay,brier_score,0.263539377
gay,cross_entropy,0.572069499
gay,ece,0.218982976
gay,kl_divergence,0.560321242
gay,expected_correctness,0.720682859
indian,brier_score,0.278239672
indian,cross_entropy,0.626161522
indian,ece,0.215123564
indian,kl_divergence,0.611517568
indian,expected_correctness,0.709780136
orient,brier_score,0.675771939
orient,cross_entropy,1.261853289
orient,ece,0.218438439
orient,kl_divergence,1.241315595
orient,expected_correctness,0.306917419
queer,brier_score,0.459894089
queer,cross_entropy,0.899801023
queer,ece,0.335638183
queer,kl_divergence,0.879414341
queer,expected_correctness,0.52464776
