term,metric,detailed
all,brier_score,0.035275761
all,cross_entropy,0.734793484
all,ece,0.154740751
all,kl_divergence,0.098279238
all,expected_correctness,0.574205399
black,brier_score,0.005165607
black,cross_entropy,0.649036288
black,ece,0.069722384
black,kl_divergence,0.012522042
black,expected_correctness,0.578063309
gay,brier_score,0.394797593
gay,cross_entropy,2.319665432
gay,ece,0.62703824
gay,kl_divergence,1.683151186
gay,expected_correctness,0.348876327
indian,brier_score,0.029964915
indian,cross_entropy,0.723748505
indian,ece,0.169374228
indian,kl_divergence,0.087234318
indian,expected_correctness,0.608227491
orient,brier_score,0.042837325
orient,cross_entropy,0.723417461
orient,ece,0.188521832
orient,kl_divergence,0.086903214
orient,expected_correctness,0.487292647
queer,brier_score,0.159757465
queer,cross_entropy,0.990075827
queer,ece,0.394164056
queer,kl_divergence,0.35356164
queer,expected_correctness,0.424936771
