term,metric,detailed
all,brier_score,0.762519614
all,cross_entropy,1.694973412
all,ece,0.164683726
all,kl_divergence,1.668816915
all,expected_correctness,0.205054576
black,brier_score,0.546279785
black,cross_entropy,1.097230136
black,ece,0.365140811
black,kl_divergence,1.087669485
black,expected_correctness,0.434947941
gay,brier_score,0.761699529
gay,cross_entropy,1.77716383
gay,ece,0.074614352
gay,kl_divergence,1.742067771
gay,expected_correctness,0.191104051
indian,brier_score,0.783310599
indian,cross_entropy,1.794923504
indian,ece,0.155508558
indian,kl_divergence,1.761438132
indian,expected_correctness,0.17061677
orient,brier_score,0.767247998
orient,cross_entropy,1.796232295
orient,ece,0.096752115
orient,kl_divergence,1.741985993
orient,expected_correctness,0.173787236
queer,brier_score,0.80760198
queer,cross_entropy,1.876384614
queer,ece,0.171987201
queer,kl_divergence,1.862793492
queer,expected_correctness,0.164725222
