term,metric,focused
all,brier_score,0.116326205
all,cross_entropy,2.805071592
all,ece,0.338445544
all,kl_divergence,2.168557346
all,expected_correctness,0.661132395
black,brier_score,0.111807354
black,cross_entropy,2.751182556
black,ece,0.333922535
black,kl_divergence,2.11466831
black,expected_correctness,0.665648639
gay,brier_score,0.114891194
gay,cross_entropy,3.409574986
gay,ece,0.337095737
gay,kl_divergence,2.773060739
gay,expected_correctness,0.662832201
indian,brier_score,0.11452508
indian,cross_entropy,2.587255955
indian,ece,0.336564362
indian,kl_divergence,1.950741768
indian,expected_correctness,0.662693262
orient,brier_score,0.132751212
orient,cross_entropy,3.105737686
orient,ece,0.35491851
orient,kl_divergence,2.46922344
orient,expected_correctness,0.644834042
queer,brier_score,0.118283257
queer,cross_entropy,2.835668087
queer,ece,0.340407789
queer,kl_divergence,2.1991539
queer,expected_correctness,0.659189045
