term,metric,detailed
all,brier_score,0.038113586
all,cross_entropy,0.098639791
all,ece,0.014295878
all,kl_divergence,0.098639791
all,expected_correctness,0.948549153
black,brier_score,0.097644435
black,cross_entropy,0.244957313
black,ece,0.197585193
black,kl_divergence,0.244957313
black,expected_correctness,0.787741005
gay,brier_score,0.106089354
gay,cross_entropy,0.2537075
gay,ece,0.185141794
gay,kl_divergence,0.2537075
gay,expected_correctness,0.784974642
indian,brier_score,0.042665512
indian,cross_entropy,0.131405841
indian,ece,0.072773415
indian,kl_divergence,0.131405841
indian,expected_correctness,0.897897549
orient,brier_score,0.138649785
orient,cross_entropy,0.281043845
orient,ece,0.048046587
orient,kl_divergence,0.281043845
orient,expected_correctness,0.878471383
queer,brier_score,0.072096852
queer,cross_entropy,0.166596771
queer,ece,0.033129
queer,kl_divergence,0.166596771
queer,expected_correctness,0.900096874
