term,metric,detailed
all,brier_score,0.252330497
all,cross_entropy,0.42917438
all,ece,0.064541417
all,kl_divergence,0.42917438
all,expected_correctness,0.75210892
black,brier_score,0.053808447
black,cross_entropy,0.129845944
black,ece,0.003720154
black,kl_divergence,0.129845944
black,expected_correctness,0.950343267
gay,brier_score,0.212035051
gay,cross_entropy,0.380758034
gay,ece,0.086682422
gay,kl_divergence,0.380758034
gay,expected_correctness,0.815444323
indian,brier_score,0.26710031
indian,cross_entropy,0.444029943
indian,ece,0.051513879
indian,kl_divergence,0.444029943
indian,expected_correctness,0.744702424
orient,brier_score,0.504250011
orient,cross_entropy,0.706643041
orient,ece,0.117846969
orient,kl_divergence,0.706643041
orient,expected_correctness,0.537401933
queer,brier_score,0.346730113
queer,cross_entropy,0.530011638
queer,ece,0.136255713
queer,kl_divergence,0.530011638
queer,expected_correctness,0.689963886
