term,metric,focused
all,brier_score,0.038097049
all,cross_entropy,0.099747179
all,ece,0.002530361
all,kl_divergence,0.099747179
all,expected_correctness,0.963692341
black,brier_score,0.018067566
black,cross_entropy,0.051650217
black,ece,0.000290271
black,kl_divergence,0.051650217
black,expected_correctness,0.981701322
gay,brier_score,0.037429461
gay,cross_entropy,0.105496936
gay,ece,0.016430174
gay,kl_divergence,0.105496936
gay,expected_correctness,0.978853844
indian,brier_score,0.030795951
indian,cross_entropy,0.073234169
indian,ece,0.009811579
indian,kl_divergence,0.073234169
indian,expected_correctness,0.959836278
orient,brier_score,0.137344425
orient,cross_entropy,0.277723825
orient,ece,0.047136335
orient,kl_divergence,0.277723825
orient,expected_correctness,0.878944451
queer,brier_score,0.068896733
queer,cross_entropy,0.150143647
queer,ece,0.000389282
queer,kl_divergence,0.150143647
queer,expected_correctness,0.93177884
