term,metric,detailed
all,brier_score,0.234334172
all,cross_entropy,0.397682469
all,ece,0.026919618
all,kl_divergence,0.397682469
all,expected_correctness,0.747396511
black,brier_score,0.053145281
black,cross_entropy,0.125370343
black,ece,0.006188156
black,kl_divergence,0.125370343
black,expected_correctness,0.941285867
gay,brier_score,0.202902624
gay,cross_entropy,0.358687546
gay,ece,0.053322744
gay,kl_divergence,0.358687546
gay,expected_correctness,0.816113942
indian,brier_score,0.259604596
indian,cross_entropy,0.429968893
indian,ece,0.041515195
indian,kl_divergence,0.429968893
indian,expected_correctness,0.715130485
orient,brier_score,0.466070632
orient,cross_entropy,0.65889676
orient,ece,0.016791517
orient,kl_divergence,0.65889676
orient,expected_correctness,0.530741291
queer,brier_score,0.335147969
queer,cross_entropy,0.517439771
queer,ece,0.07338549
queer,kl_divergence,0.517439771
queer,expected_correctness,0.663651026
