term,metric,detailed
all,brier_score,0.029129377
all,cross_entropy,0.696996927
all,ece,0.138770133
all,kl_divergence,0.060482681
all,expected_correctness,0.513239264
black,brier_score,0.013344791
black,cross_entropy,0.664474964
black,ece,0.087935917
black,kl_divergence,0.027960718
black,expected_correctness,0.533125818
gay,brier_score,0.027667802
gay,cross_entropy,0.692932546
gay,ece,0.160929352
gay,kl_divergence,0.0564183
gay,expected_correctness,0.501695454
indian,brier_score,0.015450745
indian,cross_entropy,0.66835922
indian,ece,0.100090474
indian,kl_divergence,0.031845033
indian,expected_correctness,0.524671555
orient,brier_score,0.022614362
orient,cross_entropy,0.682771444
orient,ece,0.139623836
orient,kl_divergence,0.046257198
orient,expected_correctness,0.507748127
queer,brier_score,0.026919341
queer,cross_entropy,0.691428542
queer,ece,0.16223067
queer,kl_divergence,0.054914355
queer,expected_correctness,0.50107801
