term,metric,detailed
all,brier_score,0.037623491
all,cross_entropy,0.092789937
all,ece,0.008145291
all,kl_divergence,0.092789937
all,expected_correctness,0.970232474
black,brier_score,0.018003421
black,cross_entropy,0.051035484
black,ece,0.004282239
black,kl_divergence,0.051035484
black,expected_correctness,0.98621327
gay,brier_score,0.037733772
gay,cross_entropy,0.19813987
gay,ece,0.018840059
gay,kl_divergence,0.19813987
gay,expected_correctness,0.981105249
indian,brier_score,0.032099229
indian,cross_entropy,0.086014638
indian,ece,0.007123224
indian,kl_divergence,0.086014638
indian,expected_correctness,0.973542657
orient,brier_score,0.134988073
orient,cross_entropy,0.27028702
orient,ece,0.031991908
orient,kl_divergence,0.27028702
orient,expected_correctness,0.894628215
queer,brier_score,0.072556569
queer,cross_entropy,0.168646229
queer,ece,0.023929377
queer,kl_divergence,0.168646229
queer,expected_correctness,0.908049953
