term,metric,focused
all,brier_score,0.251290269
all,cross_entropy,0.538489941
all,ece,0.040954492
all,kl_divergence,0.511128868
all,expected_correctness,0.739048257
black,brier_score,0.059540653
black,cross_entropy,0.187350468
black,ece,0.015864337
black,kl_divergence,0.169189407
black,expected_correctness,0.934780338
gay,brier_score,0.195934305
gay,cross_entropy,0.558116398
gay,ece,0.011555591
gay,kl_divergence,0.535011492
gay,expected_correctness,0.812803044
indian,brier_score,0.233515525
indian,cross_entropy,0.537882291
indian,ece,0.036502862
indian,kl_divergence,0.509200339
indian,expected_correctness,0.765191757
orient,brier_score,0.577647339
orient,cross_entropy,1.057933939
orient,ece,0.067167537
orient,kl_divergence,1.018040576
orient,expected_correctness,0.421173092
queer,brier_score,0.300301496
queer,cross_entropy,0.670365695
queer,ece,0.046291798
queer,kl_divergence,0.630757287
queer,expected_correctness,0.722035131
