term,metric,focused
all,brier_score,0.207247309
all,cross_entropy,0.34306116
all,ece,0.053961618
all,kl_divergence,0.34306116
all,expected_correctness,0.82379061
black,brier_score,0.051800961
black,cross_entropy,0.11772468
black,ece,0.01843364
black,kl_divergence,0.11772468
black,expected_correctness,0.965826153
gay,brier_score,0.169552694
gay,cross_entropy,0.280762941
gay,ece,0.061614106
gay,kl_divergence,0.280762941
gay,expected_correctness,0.827628907
indian,brier_score,0.248429444
indian,cross_entropy,0.403996403
indian,ece,0.057443792
indian,kl_divergence,0.403996403
indian,expected_correctness,0.734709633
orient,brier_score,0.481032992
orient,cross_entropy,0.651316612
orient,ece,0.25256382
orient,kl_divergence,0.651316612
orient,expected_correctness,0.583855573
queer,brier_score,0.301451404
queer,cross_entropy,0.520022489
queer,ece,0.082747568
queer,kl_divergence,0.520022489
queer,expected_correctness,0.76673435
