term,head,hard_hit,confidence_top1,kl_divergence
all,https://w3id.org/caapt/annotations/va-anno#104056591_text,1,0.9745829701423644,0.0257456116378307
all,https://w3id.org/caapt/annotations/va-anno#104052980_text,0,0.93343585729599,3.001925468444824
all,https://w3id.org/caapt/annotations/va-anno#104052106_text,1,0.94753760099411,0.0538886785507202
all,https://w3id.org/caapt/annotations/va-anno#104054624_text,1,0.9972462058067322,0.0027575583662837
all,https://w3id.org/caapt/annotations/va-anno#104055453_text,1,0.9677634835243224,0.0327675268054008
all,https://w3id.org/caapt/annotations/va-anno#104052649_text,1,0.9837756156921388,0.0163573753088712
all,https://w3id.org/caapt/annotations/va-anno#104052338_text,1,0.9263830780982972,0.0764674544334411
all,https://w3id.org/caapt/annotations/va-anno#104054703_text,1,0.993376612663269,0.006645365152508
all,https://w3id.org/caapt/annotations/va-anno#104050533_text,0,0.5705039501190186,2.339648962020874
all,https://w3id.org/caapt/annotations/va-anno#104054200_text,1,0.9732717871665956,0.0270919203758239
all,https://w3id.org/caapt/annotations/va-anno#104052132_text,1,0.9455313682556152,0.0560081824660301
all,https://w3id.org/caapt/annotations/va-anno#104050846_text,1,0.4874642789363861,0.7185382843017578
all,https://w3id.org/caapt/annotations/va-anno#104053576_text,1,0.9903472065925598,0.0096997143700718
all,https://w3id.org/caapt/annotations/va-anno#104052172_text,1,0.9350787997245787,0.067124456167221
all,https://w3id.org/caapt/annotations/va-anno#104056372_text,1,0.995067834854126,0.0049443594180047
all,https://w3id.org/caapt/annotations/va-anno#104053836_text,1,0.978340983390808,0.0218969788402318
all,https://w3id.org/caapt/annotations/va-anno#104050657_text,1,0.5495589375495911,0.1303150653839111
all,https://w3id.org/caapt/annotations/va-anno#104056774_text,1,0.8554632663726807,0.1561121046543121
all,https://w3id.org/caapt/annotations/va-anno#104056078_text,1,0.8120044469833374,0.4408979117870331
all,https://w3id.org/caapt/annotations/va-anno#104050524_text,1,0.6971636414527893,0.360735148191452
all,https://w3id.org/caapt/annotations/va-anno#104056085_text,1,0.7785096764564514,0.4658189117908478
all,https://w3id.org/caapt/annotations/va-anno#104050365_text,1,0.8809525966644287,0.12675142288208
all,https://w3id.org/caapt/annotations/va-anno#104053390_text,1,0.6162851452827454,0.4840455651283264
all,https://w3id.org/caapt/annotations/va-anno#104054311_text,1,0.9774636626243592,0.0227941386401653
all,https://w3id.org/caapt/annotations/va-anno#104051030_text,1,0.4794176816940307,0.73518306016922
all,https://w3id.org/caapt/annotations/va-anno#104051051_text,1,0.3987071812152862,0.9195280075073242
all,https://w3id.org/caapt/annotations/va-anno#104055477_text,1,0.987732708454132,0.0123432092368602
all,https://w3id.org/caapt/annotations/va-anno#104053214_text,1,0.8685569167137146,0.1409221440553665
all,https://w3id.org/caapt/annotations/va-anno#104051254_text,1,0.43901526927948,0.8232210874557495
all,https://w3id.org/caapt/annotations/va-anno#104050913_text,1,0.6692270636558533,0.4016318619251251
all,https://w3id.org/caapt/annotations/va-anno#104052853_text,1,0.8200767636299133,0.1983573138713836
all,https://w3id.org/caapt/annotations/va-anno#104055298_text,1,0.9968004822731018,0.0032046888954937
