term,metric,focused
all,brier_score,0.584269289
all,cross_entropy,1.249021577
all,ece,0.028006566
all,kl_divergence,1.198610873
all,expected_correctness,0.393661893
black,brier_score,0.454355552
black,cross_entropy,0.849626028
black,ece,0.071649589
black,kl_divergence,0.83076488
black,expected_correctness,0.529309152
gay,brier_score,0.540857166
gay,cross_entropy,1.264825523
gay,ece,0.091219557
gay,kl_divergence,1.198016156
gay,expected_correctness,0.42310801
indian,brier_score,0.710067342
indian,cross_entropy,1.638960804
indian,ece,0.032216911
indian,kl_divergence,1.575076271
indian,expected_correctness,0.270050174
orient,brier_score,0.630967284
orient,cross_entropy,1.569718632
orient,ece,0.034421433
orient,kl_divergence,1.469100485
orient,expected_correctness,0.315534613
queer,brier_score,0.722408783
queer,cross_entropy,1.628609959
queer,ece,0.109248436
queer,kl_divergence,1.601950452
queer,expected_correctness,0.285992006
