term,metric,focused
all,brier_score,0.037042464
all,cross_entropy,0.085169733
all,ece,0.000744587
all,kl_divergence,0.085169733
all,expected_correctness,0.963550959
black,brier_score,0.017540293
black,cross_entropy,0.044016658
black,ece,0.001639152
black,kl_divergence,0.044016658
black,expected_correctness,0.98065442
gay,brier_score,0.037734673
gay,cross_entropy,0.208852811
gay,ece,0.018852688
gay,kl_divergence,0.208852811
gay,expected_correctness,0.981117427
indian,brier_score,0.031926267
indian,cross_entropy,0.097570871
indian,ece,0.011859752
indian,kl_divergence,0.097570871
indian,expected_correctness,0.979954878
orient,brier_score,0.135667385
orient,cross_entropy,0.276008569
orient,ece,0.029658218
orient,kl_divergence,0.276008569
orient,expected_correctness,0.892193276
queer,brier_score,0.07126926
queer,cross_entropy,0.243287072
queer,ece,0.034722103
queer,kl_divergence,0.243287072
queer,expected_correctness,0.963374256
