term,metric,detailed
all,brier_score,0.585755419
all,cross_entropy,1.243815042
all,ece,0.05418813
all,kl_divergence,1.193404338
all,expected_correctness,0.412930126
black,brier_score,0.436200184
black,cross_entropy,0.82533111
black,ece,0.063960028
black,kl_divergence,0.806469963
black,expected_correctness,0.571300788
gay,brier_score,0.685422436
gay,cross_entropy,1.62116625
gay,ece,0.081583775
gay,kl_divergence,1.554356883
gay,expected_correctness,0.311449258
indian,brier_score,0.704263719
indian,cross_entropy,1.641882521
indian,ece,0.048253668
indian,kl_divergence,1.577997988
indian,expected_correctness,0.27210772
orient,brier_score,0.626506884
orient,cross_entropy,1.510634392
orient,ece,0.04787024
orient,kl_divergence,1.410016254
orient,expected_correctness,0.315307522
queer,brier_score,0.720510615
queer,cross_entropy,1.587300094
queer,ece,0.096769956
queer,kl_divergence,1.560640587
queer,expected_correctness,0.28845917
