term,metric,detailed
all,brier_score,0.183558631
all,cross_entropy,0.301138782
all,ece,0.033860368
all,kl_divergence,0.301138782
all,expected_correctness,0.834971607
black,brier_score,0.043154307
black,cross_entropy,0.097908986
black,ece,0.008539418
black,kl_divergence,0.097908986
black,expected_correctness,0.96063449
gay,brier_score,0.177705976
gay,cross_entropy,0.283104296
gay,ece,0.05093131
gay,kl_divergence,0.283104296
gay,expected_correctness,0.819982606
indian,brier_score,0.257493792
indian,cross_entropy,0.42708789
indian,ece,0.062432743
indian,kl_divergence,0.42708789
indian,expected_correctness,0.770253078
orient,brier_score,0.435709928
orient,cross_entropy,0.608765579
orient,ece,0.227745124
orient,kl_divergence,0.608765579
orient,expected_correctness,0.591115367
queer,brier_score,0.331831883
queer,cross_entropy,0.53791849
queer,ece,0.097574743
queer,kl_divergence,0.53791849
queer,expected_correctness,0.734488742
